Data Collection Week,# of Settlements Assessed
"Week 01 (8-12 February, 2025)", 973 
"Week 02 (15-19 February, 2025)"," 1,246 "
"Week 03 (22-26 February, 2025)"," 1,257 "
"Week 04 (1-5 March, 2025)"," 1,232 "
"Week 05 (8-12 March, 2025)"," 1,121 "
"Week 06 (15-19 March, 2025)"," 1,176 "
"Week 07 (22-26 March, 2025)"," 1,147 "
"Week 08 (29 March - 2 April, 2025)", 851 
"Week 09 (5 - 9 April, 2025)"," 1,014 "
"Week 10 (12 - 16 April, 2025)"," 1,041 "
"Week 11 (19 - 23 April, 2025)"," 1,101 "
"Week 12 (26 - 30 April, 2025)"," 1,108 "
"Week 13 (3 - 7 May, 2025)", 943 
"Week 14 (10 - 14 May, 2025)"," 1,043 "
"Week 15 (17 - 21 May, 2025)"," 1,018 "
"Week 16 (24 - 28 May, 2025)"," 1,027 "
"Week 17 (31 May - 04 June, 2025)"," 1,005 "
"Week 18 (8 - 11 June, 2025)", 876 
"Week 19 (14 - 18 June, 2025)"," 1,041 "
"Week 20 (21 - 25 June, 2025)"," 1,026 "
"Week 21 (28 June - 2 July, 2025)", 779 
"Week 22 (5 - 9 July, 2025)", 867 
"Week 23 (12 - 16 July, 2025)", 854 
"Week 24 (19 - 23 July, 2025)", 867 
"Week 25 (26 - 30 July, 2025)", 820 
"Week 26 (23 - 27 August, 2025)", 368 
"Week 27 (30 August - 03 September, 2025)", 441 
"Week 28 (06 - 10 September, 2025)", 458 
"Week 29 (13 - 17 September, 2025)", 465 
"Week 30 (20 - 24 September, 2025)", 481 
"Week 31 (27 September - 01 October, 2025)", 424 
"Week 32 (04 - 08 October, 2025)", 457 
"Week 33 (11 - 15 October, 2025)", 425 
"Week 34 (18 - 22 October, 2025)", 409 
"Week 35 (25 - 29 October, 2025)", 421 
"Week 36 (01 - 05 November, 2025)", 425 
"Week 37 (08 - 12 November, 2025)", 499 
"Week 38 (15 - 19 November, 2025)", 429 
"Week 39 (22 - 26 November, 2025)", 444 
"Week 40 (29 November - 03 December, 2025)", 456 
"Week 41 (06 - 10 December, 2025)", 420 
"Week 42 (13 - 17 December, 2025)", 449 
"Week 43 (20 - 24 December, 2025)", 411 
"Week 44 (27 - 31 December, 2025)", 449 
"Week 45 (03 - 07 January, 2026)", 422 
"Week 46 (10 - 14 January, 2026)", 462 
"Week 47 (17 - 21 January, 2026)", 445 
"Week 48 (24 - 28 January, 2026)", 438 
"Week 49 (31 January - 04 February, 2026)", 449 